Date/Time, City, State, Shape, Duration, Summary, Posted
2023-02-19T19:35:00Z, Canton, OH, Light, 2 minutes, Looked like a missle was fired. The exhaust quickly disappeared., 3/6/2023
2023-02-13T17:17:00Z, Gypsum, OH, Cylinder, In sight for 1 minute, "Looked overhead while outside with coworker, multiple planes, yet this object was moving faster with no sound or trail.", 3/6/2023
2023-02-12T21:30:00Z, Bucyrus, OH, Light, Over hour, Light with glow around seen east of city then to west of city then disappeared, 3/6/2023
2023-02-12T19:45:00Z, Arcanum, OH, Formation, Approx 3 minutes, Large straight line formation from western horizon rapidly dimming out after passing overhead., 3/6/2023
2023-02-12T19:40:00Z, Grand Rapids, OH, Formation, 45 seconds, "Not an airplane. String of lights. No air noise. No banner. it was going for about 45 seconds, maybe a minute and then disappeared.", 3/6/2023
2023-02-12T19:39:00Z, Liberty Township, OH, Changing, About 3-5 minutes, "A long train like glowing on and off light, that was moving slow then eventually all lights turned off!", 3/6/2023
2023-02-12T19:38:00Z, Twinsburg, OH, Cigar, About 3 minutes, A line of bright lights that was constant; couldn't see the craft disappeared right above me, 3/6/2023
2023-02-12T18:15:00Z, Waterville, OH, Oval, 1 minute, Something that I've never seen before in the sky, 3/6/2023
2023-02-12T17:19:00Z, Columbus, OH, Sphere, Sharp Shiny metal object, I have video tape, 3/6/2023
2023-02-09T19:16:00Z, Newark, OH, Cone, 10 to 12 minutes, Many flashing lights following a bigger object, 3/6/2023
2023-02-09T17:45:00Z, Cleveland, OH, Cylinder, 5 minutes, We were watching a plane when we noticed this, 3/6/2023
2023-02-09T03:30:00Z, Austintown, OH, Circle, Lasted about ten minutes, "Well I seen the flying object, three of them very bright lights could see much because these light were so bright were not airplanes", 5/19/2023
2023-02-06T23:06:00Z, Van Buren, OH, Other, 5 minutes, Object to the north, 3/6/2023
2023-02-03T17:25:00Z, Mentor, OH, Circle, A secongy, Saw a white bright light go up to a cloud., 3/6/2023
2023-02-02T20:30:00Z, Bremen, OH, Chevron, Around 20 seconds, "Let the dog out for RR, Looked into sky, saw a translucent bird shaped object with no noise, no light, and no flapping of wings.", 5/19/2023
2023-01-28T20:30:00Z, Mount vernon, OH, Light, 30 seconds, "Low-flying object, 3 lights in a straight line, moving slowly, no noise.", 3/6/2023
2023-01-21T19:29:00Z, Athens, OH, Light, over 10 minutes, "Green, blue, purple, and white flashing light", 3/6/2023
2023-01-15T15:23:00Z, Columbus, OH, Orb, 2 minutes, Orb hovering over our house, 3/6/2023
2023-01-09T20:00:00Z, Wilmington, OH, Unknown, Zero, Followup to my earlier report, 3/6/2023
2023-01-09T08:00:00Z, Wilmington, OH, Unknown, Approximately 20 minutes, Colorful spot in the sky, 3/6/2023
2022-12-23T17:25:00Z, Homeworth, OH, Unknown, 5 min, Took pictures with cell phone, 3/6/2023
2022-12-21T21:33:00Z, Columbus, OH, Light, 1-2 minutes, 4-5 orange balls of light in a straight line, 12/22/2022
2022-12-20T21:58:00Z, Mentor Headlands, OH, Cylinder, A few minutes, "Looked cylindrical from the lights, changing colors from white to red to orange then yellow back to white, .", 12/22/2022
2022-12-13T12:07:00Z, Kent, OH, Cross, 40 seconds, "I thought at first this might be a plane making its way upwards, soon to see that it was remaining stationary.", 12/22/2022
